threshold,f1,recall,precision
0.735,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.745,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.755,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.765,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.775,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.785,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.795,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.805,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8150000000000001,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8250000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8350000000000001,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.845,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.855,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.865,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.875,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.885,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.895,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.905,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.915,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.925,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.935,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9450000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9550000000000001,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0
0.965,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.975,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.985,0.0,0.0,0.0
0.99,0.0,0.0,0.0
0.995,0.0,0.0,0.0
